,,1d,Translation 1d,1e,Translation 1e,1f,Translation 1f,1i,Translation 1i,2d,Translation 2d,2e,Translation 2e,2f,Translation 2f,2i,Translation 2i,3d,Translation 3d,3e,Translation 3e,3f,Translation 3f,3j,Translation 3j
ITA TI MBI TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
yo Yami,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,,,,,,,,,,,,,,,,,,,,,,,,,
"ITA TI MBI, WA BE AFRICA",,,,,,,,,,,,,,,,,,,,,,,,,
ITA WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I  A WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI BE AFRICA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA WALI,,,,,,,,,,,,,,,,,,,,,,,,,
FRERE ( ITA ),,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI BE,,,,,,,,,,,,,,,,,,,,,,,,,
Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,,,,,,,,,
Kata,,,,,,,,,,,,,,,,,,,,,,,,,
Detite regiense,,,,,,,,,,,,,,,,,,,,,,,,,
Zo ti kete kodro,,,,,,,,,,,,,,,,,,,,,,,,,
Lawa lawa eke finire na a la,,,,,,,,,,,,,,,,,,,,,,,,,
Banda,,,,,,,,,,,,,,,,,,,,,,,,,
Kondo a guida,,,,,,,,,,,,,,,,,,,,,,,,,
WALI,,,,,,,,,,,,,,,,,,,,,,,,,
Seleka,,,,,,,,,,,,,,,,,,,,,,,,,
i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,,,,,,,,,
Ndeko ti mbi,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I,,,,,,,,,,,,,,,,,,,,,,,,,
A ita ti i so a gbou ngombé na tere ti a ita ti ala,,,,,,,,,,,,,,,,,,,,,,,,,
I TA TI MBI TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
Me ne Yami,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
yo Yami,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,,,,,,,,,,,,,,,,,,,,,,,,,
"ITA TI MBI, WA BE AFRICA",,,,,,,,,,,,,,,,,,,,,,,,,
ITA WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I  A WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI BE AFRICA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA WALI,,,,,,,,,,,,,,,,,,,,,,,,,
FRERE ( ITA ),,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI BE,,,,,,,,,,,,,,,,,,,,,,,,,
Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,,,,,,,,,
Kata,,,,,,,,,,,,,,,,,,,,,,,,,
Detite regiense,,,,,,,,,,,,,,,,,,,,,,,,,
Zo ti kete kodro,,,,,,,,,,,,,,,,,,,,,,,,,
Lawa lawa eke finire na a la,,,,,,,,,,,,,,,,,,,,,,,,,
Banda,,,,,,,,,,,,,,,,,,,,,,,,,
Kondo a guida,,,,,,,,,,,,,,,,,,,,,,,,,
WALI,,,,,,,,,,,,,,,,,,,,,,,,,
Seleka,,,,,,,,,,,,,,,,,,,,,,,,,
i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,,,,,,,,,
Ndeko ti mbi,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I,,,,,,,,,,,,,,,,,,,,,,,,,
A ita ti i so a gbou ngombé na tere ti a ita ti ala,,,,,,,,,,,,,,,,,,,,,,,,,
I TA TI MBI TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
Me ne Yami,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
yo Yami,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,,,,,,,,,,,,,,,,,,,,,,,,,
"ITA TI MBI, WA BE AFRICA",,,,,,,,,,,,,,,,,,,,,,,,,
ITA WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I  A WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI BE AFRICA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA WALI,,,,,,,,,,,,,,,,,,,,,,,,,
FRERE ( ITA ),,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI BE,,,,,,,,,,,,,,,,,,,,,,,,,
Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,,,,,,,,,
Kata,,,,,,,,,,,,,,,,,,,,,,,,,
Detite regiense,,,,,,,,,,,,,,,,,,,,,,,,,
Zo ti kete kodro,,,,,,,,,,,,,,,,,,,,,,,,,
Lawa lawa eke finire na a la,,,,,,,,,,,,,,,,,,,,,,,,,
Banda,,,,,,,,,,,,,,,,,,,,,,,,,
Kondo a guida,,,,,,,,,,,,,,,,,,,,,,,,,
WALI,,,,,,,,,,,,,,,,,,,,,,,,,
Seleka,,,,,,,,,,,,,,,,,,,,,,,,,
i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,,,,,,,,,
Ndeko ti mbi,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I,,,,,,,,,,,,,,,,,,,,,,,,,
A ita ti i so a gbou ngombé na tere ti a ita ti ala,,,,,,,,,,,,,,,,,,,,,,,,,
I TA TI MBI TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
Me ne Yami,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
yo Yami,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,,,,,,,,,,,,,,,,,,,,,,,,,
"ITA TI MBI, WA BE AFRICA",,,,,,,,,,,,,,,,,,,,,,,,,
ITA WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I  A WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI BE AFRICA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA WALI,,,,,,,,,,,,,,,,,,,,,,,,,
FRERE ( ITA ),,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI BE,,,,,,,,,,,,,,,,,,,,,,,,,
Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,,,,,,,,,
Kata,,,,,,,,,,,,,,,,,,,,,,,,,
Detite regiense,,,,,,,,,,,,,,,,,,,,,,,,,
Zo ti kete kodro,,,,,,,,,,,,,,,,,,,,,,,,,
Lawa lawa eke finire na a la,,,,,,,,,,,,,,,,,,,,,,,,,
Banda,,,,,,,,,,,,,,,,,,,,,,,,,
Kondo a guida,,,,,,,,,,,,,,,,,,,,,,,,,
WALI,,,,,,,,,,,,,,,,,,,,,,,,,
Seleka,,,,,,,,,,,,,,,,,,,,,,,,,
i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,,,,,,,,,
Ndeko ti mbi,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I,,,,,,,,,,,,,,,,,,,,,,,,,
A ita ti i so a gbou ngombé na tere ti a ita ti ala,,,,,,,,,,,,,,,,,,,,,,,,,
I TA TI MBI TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
Me ne Yami,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
yo Yami,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,,,,,,,,,,,,,,,,,,,,,,,,,
"ITA TI MBI, WA BE AFRICA",,,,,,,,,,,,,,,,,,,,,,,,,
ITA WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I  A WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI BE AFRICA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA WALI,,,,,,,,,,,,,,,,,,,,,,,,,
FRERE ( ITA ),,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI BE,,,,,,,,,,,,,,,,,,,,,,,,,
Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,,,,,,,,,
Kata,,,,,,,,,,,,,,,,,,,,,,,,,
Detite regiense,,,,,,,,,,,,,,,,,,,,,,,,,
Zo ti kete kodro,,,,,,,,,,,,,,,,,,,,,,,,,
Lawa lawa eke finire na a la,,,,,,,,,,,,,,,,,,,,,,,,,
Banda,,,,,,,,,,,,,,,,,,,,,,,,,
Kondo a guida,,,,,,,,,,,,,,,,,,,,,,,,,
WALI,,,,,,,,,,,,,,,,,,,,,,,,,
Seleka,,,,,,,,,,,,,,,,,,,,,,,,,
i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,,,,,,,,,
Ndeko ti mbi,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I,,,,,,,,,,,,,,,,,,,,,,,,,
A ita ti i so a gbou ngombé na tere ti a ita ti ala,,,,,,,,,,,,,,,,,,,,,,,,,
I TA TI MBI TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
Me ne Yami,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
yo Yami,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,,,,,,,,,,,,,,,,,,,,,,,,,
"ITA TI MBI, WA BE AFRICA",,,,,,,,,,,,,,,,,,,,,,,,,
ITA WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I  A WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI BE AFRICA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA WALI,,,,,,,,,,,,,,,,,,,,,,,,,
FRERE ( ITA ),,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI BE,,,,,,,,,,,,,,,,,,,,,,,,,
Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,,,,,,,,,
Kata,,,,,,,,,,,,,,,,,,,,,,,,,
Detite regiense,,,,,,,,,,,,,,,,,,,,,,,,,
Zo ti kete kodro,,,,,,,,,,,,,,,,,,,,,,,,,
Lawa lawa eke finire na a la,,,,,,,,,,,,,,,,,,,,,,,,,
Banda,,,,,,,,,,,,,,,,,,,,,,,,,
Kondo a guida,,,,,,,,,,,,,,,,,,,,,,,,,
WALI,,,,,,,,,,,,,,,,,,,,,,,,,
Seleka,,,,,,,,,,,,,,,,,,,,,,,,,
i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,,,,,,,,,
Ndeko ti mbi,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I,,,,,,,,,,,,,,,,,,,,,,,,,
A ita ti i so a gbou ngombé na tere ti a ita ti ala,,,,,,,,,,,,,,,,,,,,,,,,,
I TA TI MBI TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
Me ne Yami,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
yo Yami,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,,,,,,,,,,,,,,,,,,,,,,,,,
"ITA TI MBI, WA BE AFRICA",,,,,,,,,,,,,,,,,,,,,,,,,
ITA WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I  A WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI BE AFRICA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA WALI,,,,,,,,,,,,,,,,,,,,,,,,,
FRERE ( ITA ),,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI BE,,,,,,,,,,,,,,,,,,,,,,,,,
Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,,,,,,,,,
Kata,,,,,,,,,,,,,,,,,,,,,,,,,
Detite regiense,,,,,,,,,,,,,,,,,,,,,,,,,
Zo ti kete kodro,,,,,,,,,,,,,,,,,,,,,,,,,
Lawa lawa eke finire na a la,,,,,,,,,,,,,,,,,,,,,,,,,
Banda,,,,,,,,,,,,,,,,,,,,,,,,,
Kondo a guida,,,,,,,,,,,,,,,,,,,,,,,,,
WALI,,,,,,,,,,,,,,,,,,,,,,,,,
Seleka,,,,,,,,,,,,,,,,,,,,,,,,,
i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,,,,,,,,,
Ndeko ti mbi,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I,,,,,,,,,,,,,,,,,,,,,,,,,
A ita ti i so a gbou ngombé na tere ti a ita ti ala,,,,,,,,,,,,,,,,,,,,,,,,,
I TA TI MBI TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
Me ne Yami,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
yo Yami,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,,,,,,,,,,,,,,,,,,,,,,,,,
"ITA TI MBI, WA BE AFRICA",,,,,,,,,,,,,,,,,,,,,,,,,
ITA WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I  A WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI BE AFRICA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA WALI,,,,,,,,,,,,,,,,,,,,,,,,,
FRERE ( ITA ),,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI BE,,,,,,,,,,,,,,,,,,,,,,,,,
Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,,,,,,,,,
Kata,,,,,,,,,,,,,,,,,,,,,,,,,
Detite regiense,,,,,,,,,,,,,,,,,,,,,,,,,
Zo ti kete kodro,,,,,,,,,,,,,,,,,,,,,,,,,
Lawa lawa eke finire na a la,,,,,,,,,,,,,,,,,,,,,,,,,
Banda,,,,,,,,,,,,,,,,,,,,,,,,,
Kondo a guida,,,,,,,,,,,,,,,,,,,,,,,,,
WALI,,,,,,,,,,,,,,,,,,,,,,,,,
Seleka,,,,,,,,,,,,,,,,,,,,,,,,,
i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,,,,,,,,,
Ndeko ti mbi,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I,,,,,,,,,,,,,,,,,,,,,,,,,
A ita ti i so a gbou ngombé na tere ti a ita ti ala,,,,,,,,,,,,,,,,,,,,,,,,,
I TA TI MBI TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
Me ne Yami,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
yo Yami,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,,,,,,,,,,,,,,,,,,,,,,,,,
"ITA TI MBI, WA BE AFRICA",,,,,,,,,,,,,,,,,,,,,,,,,
ITA WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I  A WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI BE AFRICA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA WALI,,,,,,,,,,,,,,,,,,,,,,,,,
FRERE ( ITA ),,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI BE,,,,,,,,,,,,,,,,,,,,,,,,,
Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,,,,,,,,,
Kata,,,,,,,,,,,,,,,,,,,,,,,,,
Detite regiense,,,,,,,,,,,,,,,,,,,,,,,,,
Zo ti kete kodro,,,,,,,,,,,,,,,,,,,,,,,,,
Lawa lawa eke finire na a la,,,,,,,,,,,,,,,,,,,,,,,,,
Banda,,,,,,,,,,,,,,,,,,,,,,,,,
Kondo a guida,,,,,,,,,,,,,,,,,,,,,,,,,
WALI,,,,,,,,,,,,,,,,,,,,,,,,,
Seleka,,,,,,,,,,,,,,,,,,,,,,,,,
i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,,,,,,,,,
Ndeko ti mbi,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I,,,,,,,,,,,,,,,,,,,,,,,,,
A ita ti i so a gbou ngombé na tere ti a ita ti ala,,,,,,,,,,,,,,,,,,,,,,,,,
I TA TI MBI TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
Me ne Yami,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
yo Yami,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,,,,,,,,,,,,,,,,,,,,,,,,,
"ITA TI MBI, WA BE AFRICA",,,,,,,,,,,,,,,,,,,,,,,,,
ITA WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I  A WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI BE AFRICA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA WALI,,,,,,,,,,,,,,,,,,,,,,,,,
FRERE ( ITA ),,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI BE,,,,,,,,,,,,,,,,,,,,,,,,,
Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,,,,,,,,,
Kata,,,,,,,,,,,,,,,,,,,,,,,,,
Detite regiense,,,,,,,,,,,,,,,,,,,,,,,,,
Zo ti kete kodro,,,,,,,,,,,,,,,,,,,,,,,,,
Lawa lawa eke finire na a la,,,,,,,,,,,,,,,,,,,,,,,,,
Banda,,,,,,,,,,,,,,,,,,,,,,,,,
Kondo a guida,,,,,,,,,,,,,,,,,,,,,,,,,
WALI,,,,,,,,,,,,,,,,,,,,,,,,,
Seleka,,,,,,,,,,,,,,,,,,,,,,,,,
i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,,,,,,,,,
Ndeko ti mbi,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I,,,,,,,,,,,,,,,,,,,,,,,,,
A ita ti i so a gbou ngombé na tere ti a ita ti ala,,,,,,,,,,,,,,,,,,,,,,,,,
I TA TI MBI TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
Me ne Yami,,,,,,,,,,,,,,,,,,,,,,,,,
Me ne Yami,,,,,,,,,,,,,,,,,,,,,,,,,
yo Yami,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,,,,,,,,,,,,,,,,,,,,,,,,,
"ITA TI MBI, WA BE AFRICA",,,,,,,,,,,,,,,,,,,,,,,,,
ITA WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I  A WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI BE AFRICA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA WALI,,,,,,,,,,,,,,,,,,,,,,,,,
FRERE ( ITA ),,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI BE,,,,,,,,,,,,,,,,,,,,,,,,,
Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,,,,,,,,,
Kata,,,,,,,,,,,,,,,,,,,,,,,,,
Detite regiense,,,,,,,,,,,,,,,,,,,,,,,,,
Zo ti kete kodro,,,,,,,,,,,,,,,,,,,,,,,,,
Lawa lawa eke finire na a la,,,,,,,,,,,,,,,,,,,,,,,,,
Banda,,,,,,,,,,,,,,,,,,,,,,,,,
Kondo a guida,,,,,,,,,,,,,,,,,,,,,,,,,
WALI,,,,,,,,,,,,,,,,,,,,,,,,,
Seleka,,,,,,,,,,,,,,,,,,,,,,,,,
i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,,,,,,,,,
Ndeko ti mbi,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I,,,,,,,,,,,,,,,,,,,,,,,,,
A ita ti i so a gbou ngombé na tere ti a ita ti ala,,,,,,,,,,,,,,,,,,,,,,,,,
I TA TI MBI TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
Me ne Yami,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
yo Yami,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,,,,,,,,,,,,,,,,,,,,,,,,,
"ITA TI MBI, WA BE AFRICA",,,,,,,,,,,,,,,,,,,,,,,,,
ITA WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I  A WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI BE AFRICA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA WALI,,,,,,,,,,,,,,,,,,,,,,,,,
FRERE ( ITA ),,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI BE,,,,,,,,,,,,,,,,,,,,,,,,,
Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,,,,,,,,,
Kata,,,,,,,,,,,,,,,,,,,,,,,,,
Detite regiense,,,,,,,,,,,,,,,,,,,,,,,,,
Zo ti kete kodro,,,,,,,,,,,,,,,,,,,,,,,,,
Lawa lawa eke finire na a la,,,,,,,,,,,,,,,,,,,,,,,,,
Banda,,,,,,,,,,,,,,,,,,,,,,,,,
Kondo a guida,,,,,,,,,,,,,,,,,,,,,,,,,
WALI,,,,,,,,,,,,,,,,,,,,,,,,,
Seleka,,,,,,,,,,,,,,,,,,,,,,,,,
i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,,,,,,,,,
Ndeko ti mbi,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I,,,,,,,,,,,,,,,,,,,,,,,,,
A ita ti i so a gbou ngombé na tere ti a ita ti ala,,,,,,,,,,,,,,,,,,,,,,,,,
I TA TI MBI TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
Me ne Yami,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
yo Yami,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,,,,,,,,,,,,,,,,,,,,,,,,,
"ITA TI MBI, WA BE AFRICA",,,,,,,,,,,,,,,,,,,,,,,,,
ITA WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I  A WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI BE AFRICA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA WALI,,,,,,,,,,,,,,,,,,,,,,,,,
FRERE ( ITA ),,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI BE,,,,,,,,,,,,,,,,,,,,,,,,,
Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,,,,,,,,,
Kata,,,,,,,,,,,,,,,,,,,,,,,,,
Detite regiense,,,,,,,,,,,,,,,,,,,,,,,,,
Zo ti kete kodro,,,,,,,,,,,,,,,,,,,,,,,,,
Lawa lawa eke finire na a la,,,,,,,,,,,,,,,,,,,,,,,,,
Banda,,,,,,,,,,,,,,,,,,,,,,,,,
Kondo a guida,,,,,,,,,,,,,,,,,,,,,,,,,
WALI,,,,,,,,,,,,,,,,,,,,,,,,,
Seleka,,,,,,,,,,,,,,,,,,,,,,,,,
i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,,,,,,,,,
Ndeko ti mbi,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I,,,,,,,,,,,,,,,,,,,,,,,,,
